Day,Time,Share
Monday,08:00:00,10
Monday,08:30:00,59
Monday,09:00:00,66
Monday,09:30:00,67
Monday,10:00:00,154
Monday,10:30:00,154
Monday,11:00:00,153
Monday,11:30:00,115
Monday,12:00:00,119
Monday,12:30:00,118
Monday,13:00:00,123
Monday,13:30:00,121
Monday,14:00:00,138
Monday,14:30:00,146
Monday,15:00:00,145
Monday,15:30:00,144
Monday,16:00:00,129
Monday,16:30:00,129
Monday,17:00:00,127
Monday,17:30:00,93
Monday,18:00:00,83
Monday,18:30:00,81
Monday,19:00:00,60
Monday,19:30:00,46
Monday,20:00:00,24
Monday,20:30:00,25
Monday,21:00:00,17
Monday,21:30:00,7
Monday,22:00:00,3
Monday,22:30:00,1
Monday,23:00:00,1
Tuesday,08:00:00,12
Tuesday,08:30:00,54
Tuesday,09:00:00,67
Tuesday,09:30:00,67
Tuesday,10:00:00,145
Tuesday,10:30:00,144
Tuesday,11:00:00,137
Tuesday,11:30:00,115
Tuesday,12:00:00,122
Tuesday,12:30:00,121
Tuesday,13:00:00,131
Tuesday,13:30:00,129
Tuesday,14:00:00,157
Tuesday,14:30:00,164
Tuesday,15:00:00,158
Tuesday,15:30:00,157
Tuesday,16:00:00,128
Tuesday,16:30:00,128
Tuesday,17:00:00,125
Tuesday,17:30:00,83
Tuesday,18:00:00,81
Tuesday,18:30:00,81
Tuesday,19:00:00,62
Tuesday,19:30:00,49
Tuesday,20:00:00,22
Tuesday,20:30:00,23
Tuesday,21:00:00,15
Tuesday,21:30:00,4
Tuesday,22:00:00,1
Wednesday,08:00:00,10
Wednesday,08:30:00,57
Wednesday,09:00:00,66
Wednesday,09:30:00,67
Wednesday,10:00:00,160
Wednesday,10:30:00,160
Wednesday,11:00:00,159
Wednesday,11:30:00,118
Wednesday,12:00:00,118
Wednesday,12:30:00,117
Wednesday,13:00:00,125
Wednesday,13:30:00,123
Wednesday,14:00:00,137
Wednesday,14:30:00,148
Wednesday,15:00:00,148
Wednesday,15:30:00,148
Wednesday,16:00:00,130
Wednesday,16:30:00,129
Wednesday,17:00:00,126
Wednesday,17:30:00,91
Wednesday,18:00:00,86
Wednesday,18:30:00,84
Wednesday,19:00:00,65
Wednesday,19:30:00,50
Wednesday,20:00:00,26
Wednesday,20:30:00,25
Wednesday,21:00:00,14
Wednesday,21:30:00,4
Wednesday,22:00:00,2
Thursday,08:00:00,8
Thursday,08:30:00,54
Thursday,09:00:00,64
Thursday,09:30:00,64
Thursday,10:00:00,159
Thursday,10:30:00,160
Thursday,11:00:00,155
Thursday,11:30:00,128
Thursday,12:00:00,115
Thursday,12:30:00,112
Thursday,13:00:00,119
Thursday,13:30:00,116
Thursday,14:00:00,140
Thursday,14:30:00,146
Thursday,15:00:00,140
Thursday,15:30:00,139
Thursday,16:00:00,123
Thursday,16:30:00,124
Thursday,17:00:00,122
Thursday,17:30:00,72
Thursday,18:00:00,75
Thursday,18:30:00,76
Thursday,19:00:00,60
Thursday,19:30:00,46
Thursday,20:00:00,25
Thursday,20:30:00,23
Thursday,21:00:00,12
Thursday,21:30:00,3
Friday,08:00:00,2
Friday,08:30:00,2
Friday,09:00:00,9
Friday,09:30:00,12
Friday,10:00:00,55
Friday,10:30:00,55
Friday,11:00:00,59
Friday,11:30:00,56
Friday,12:00:00,53
Friday,12:30:00,51
Friday,13:00:00,43
Friday,13:30:00,44
Friday,14:00:00,42
Friday,14:30:00,41
Friday,15:00:00,41
Friday,15:30:00,41
Friday,16:00:00,20
Friday,16:30:00,18
Friday,17:00:00,11
Friday,17:30:00,7
Friday,18:00:00,7
Friday,18:30:00,7
Friday,19:00:00,1
Friday,19:30:00,1
