Day,Time,Share
Monday,08:00:00,11
Monday,08:30:00,52
Monday,09:00:00,63
Monday,09:30:00,63
Monday,10:00:00,140
Monday,10:30:00,140
Monday,11:00:00,138
Monday,11:30:00,106
Monday,12:00:00,114
Monday,12:30:00,114
Monday,13:00:00,118
Monday,13:30:00,118
Monday,14:00:00,131
Monday,14:30:00,145
Monday,15:00:00,143
Monday,15:30:00,141
Monday,16:00:00,137
Monday,16:30:00,137
Monday,17:00:00,137
Monday,17:30:00,90
Monday,18:00:00,79
Monday,18:30:00,79
Monday,19:00:00,57
Monday,19:30:00,44
Monday,20:00:00,19
Monday,20:30:00,18
Monday,21:00:00,11
Monday,21:30:00,4
Tuesday,08:00:00,11
Tuesday,08:30:00,59
Tuesday,09:00:00,68
Tuesday,09:30:00,68
Tuesday,10:00:00,148
Tuesday,10:30:00,148
Tuesday,11:00:00,141
Tuesday,11:30:00,117
Tuesday,12:00:00,104
Tuesday,12:30:00,104
Tuesday,13:00:00,123
Tuesday,13:30:00,123
Tuesday,14:00:00,151
Tuesday,14:30:00,169
Tuesday,15:00:00,168
Tuesday,15:30:00,165
Tuesday,16:00:00,144
Tuesday,16:30:00,143
Tuesday,17:00:00,138
Tuesday,17:30:00,92
Tuesday,18:00:00,70
Tuesday,18:30:00,70
Tuesday,19:00:00,49
Tuesday,19:30:00,35
Tuesday,20:00:00,15
Tuesday,20:30:00,13
Tuesday,21:00:00,9
Tuesday,21:30:00,3
Wednesday,08:00:00,10
Wednesday,08:30:00,48
Wednesday,09:00:00,60
Wednesday,09:30:00,60
Wednesday,10:00:00,148
Wednesday,10:30:00,148
Wednesday,11:00:00,145
Wednesday,11:30:00,115
Wednesday,12:00:00,116
Wednesday,12:30:00,117
Wednesday,13:00:00,125
Wednesday,13:30:00,126
Wednesday,14:00:00,139
Wednesday,14:30:00,155
Wednesday,15:00:00,152
Wednesday,15:30:00,151
Wednesday,16:00:00,131
Wednesday,16:30:00,130
Wednesday,17:00:00,128
Wednesday,17:30:00,79
Wednesday,18:00:00,66
Wednesday,18:30:00,67
Wednesday,19:00:00,54
Wednesday,19:30:00,40
Wednesday,20:00:00,22
Wednesday,20:30:00,21
Wednesday,21:00:00,12
Wednesday,21:30:00,3
Thursday,08:00:00,9
Thursday,08:30:00,59
Thursday,09:00:00,67
Thursday,09:30:00,67
Thursday,10:00:00,147
Thursday,10:30:00,148
Thursday,11:00:00,145
Thursday,11:30:00,120
Thursday,12:00:00,108
Thursday,12:30:00,107
Thursday,13:00:00,126
Thursday,13:30:00,126
Thursday,14:00:00,143
Thursday,14:30:00,159
Thursday,15:00:00,159
Thursday,15:30:00,156
Thursday,16:00:00,125
Thursday,16:30:00,123
Thursday,17:00:00,119
Thursday,17:30:00,71
Thursday,18:00:00,67
Thursday,18:30:00,66
Thursday,19:00:00,47
Thursday,19:30:00,32
Thursday,20:00:00,14
Thursday,20:30:00,12
Thursday,21:00:00,7
Thursday,21:30:00,2
Friday,08:00:00,3
Friday,08:30:00,6
Friday,09:00:00,15
Friday,09:30:00,17
Friday,10:00:00,49
Friday,10:30:00,49
Friday,11:00:00,48
Friday,11:30:00,46
Friday,12:00:00,45
Friday,12:30:00,47
Friday,13:00:00,41
Friday,13:30:00,42
Friday,14:00:00,45
Friday,14:30:00,43
Friday,15:00:00,40
Friday,15:30:00,40
Friday,16:00:00,19
Friday,16:30:00,17
Friday,17:00:00,13
Friday,17:30:00,11
Friday,18:00:00,8
Friday,18:30:00,8
Friday,19:00:00,4
Friday,19:30:00,5
Friday,20:00:00,3
Friday,20:30:00,2
Friday,21:00:00,2
