Day,Time,Share
Monday,08:00:00,11
Monday,08:30:00,56
Monday,09:00:00,66
Monday,09:30:00,66
Monday,10:00:00,132
Monday,10:30:00,132
Monday,11:00:00,126
Monday,11:30:00,116
Monday,12:00:00,122
Monday,12:30:00,121
Monday,13:00:00,120
Monday,13:30:00,120
Monday,14:00:00,131
Monday,14:30:00,134
Monday,15:00:00,135
Monday,15:30:00,134
Monday,16:00:00,112
Monday,16:30:00,112
Monday,17:00:00,112
Monday,17:30:00,81
Monday,18:00:00,73
Monday,18:30:00,72
Monday,19:00:00,53
Monday,19:30:00,35
Monday,20:00:00,13
Monday,20:30:00,14
Monday,21:00:00,11
Monday,21:30:00,8
Monday,22:00:00,2
Tuesday,08:00:00,10
Tuesday,08:30:00,45
Tuesday,09:00:00,57
Tuesday,09:30:00,57
Tuesday,10:00:00,151
Tuesday,10:30:00,151
Tuesday,11:00:00,143
Tuesday,11:30:00,117
Tuesday,12:00:00,110
Tuesday,12:30:00,109
Tuesday,13:00:00,123
Tuesday,13:30:00,123
Tuesday,14:00:00,137
Tuesday,14:30:00,133
Tuesday,15:00:00,130
Tuesday,15:30:00,129
Tuesday,16:00:00,117
Tuesday,16:30:00,117
Tuesday,17:00:00,115
Tuesday,17:30:00,79
Tuesday,18:00:00,67
Tuesday,18:30:00,69
Tuesday,19:00:00,53
Tuesday,19:30:00,41
Tuesday,20:00:00,16
Tuesday,20:30:00,15
Tuesday,21:00:00,11
Tuesday,21:30:00,3
Tuesday,22:00:00,1
Wednesday,08:00:00,10
Wednesday,08:30:00,57
Wednesday,09:00:00,68
Wednesday,09:30:00,68
Wednesday,10:00:00,138
Wednesday,10:30:00,140
Wednesday,11:00:00,134
Wednesday,11:30:00,126
Wednesday,12:00:00,127
Wednesday,12:30:00,126
Wednesday,13:00:00,120
Wednesday,13:30:00,122
Wednesday,14:00:00,137
Wednesday,14:30:00,145
Wednesday,15:00:00,147
Wednesday,15:30:00,146
Wednesday,16:00:00,112
Wednesday,16:30:00,110
Wednesday,17:00:00,107
Wednesday,17:30:00,77
Wednesday,18:00:00,64
Wednesday,18:30:00,62
Wednesday,19:00:00,51
Wednesday,19:30:00,32
Wednesday,20:00:00,13
Wednesday,20:30:00,14
Wednesday,21:00:00,10
Wednesday,21:30:00,4
Wednesday,22:00:00,1
Thursday,08:00:00,9
Thursday,08:30:00,43
Thursday,09:00:00,55
Thursday,09:30:00,55
Thursday,10:00:00,150
Thursday,10:30:00,150
Thursday,11:00:00,143
Thursday,11:30:00,117
Thursday,12:00:00,117
Thursday,12:30:00,113
Thursday,13:00:00,122
Thursday,13:30:00,121
Thursday,14:00:00,125
Thursday,14:30:00,125
Thursday,15:00:00,128
Thursday,15:30:00,122
Thursday,16:00:00,120
Thursday,16:30:00,120
Thursday,17:00:00,116
Thursday,17:30:00,80
Thursday,18:00:00,69
Thursday,18:30:00,70
Thursday,19:00:00,48
Thursday,19:30:00,34
Thursday,20:00:00,14
Thursday,20:30:00,13
Thursday,21:00:00,8
Friday,08:00:00,3
Friday,08:30:00,6
Friday,09:00:00,13
Friday,09:30:00,15
Friday,10:00:00,47
Friday,10:30:00,48
Friday,11:00:00,46
Friday,11:30:00,45
Friday,12:00:00,43
Friday,12:30:00,45
Friday,13:00:00,39
Friday,13:30:00,40
Friday,14:00:00,48
Friday,14:30:00,42
Friday,15:00:00,43
Friday,15:30:00,40
Friday,16:00:00,13
Friday,16:30:00,12
Friday,17:00:00,13
Friday,17:30:00,11
Friday,18:00:00,10
Friday,18:30:00,9
Friday,19:00:00,6
Friday,19:30:00,6
Friday,20:00:00,2
Friday,20:30:00,2
Friday,21:00:00,2
Friday,21:30:00,1
